iso,country,age_sex_group,expat_pop,total_pop
724,Spain,total_age3,450000,3700000
231,Ethiopia,total_age3,130000,2300000
246,Finland,total_age3,29000,390000
242,Fiji,total_age3,7500,83000
238,Falkland Islands,total_age3,1000,1000
583,Federated States of Micronesia,total_age3,1000,4600
234,Faroe Islands,total_age3,1000,3800
250,France,total_age3,590000,5100000
266,Gabon,total_age3,39000,140000
826,United Kingdom,total_age3,720000,6000000
308,Grenada,total_age3,1400,11000
268,Georgia,total_age3,20000,400000
254,French Guiana,total_age3,5100,17000
831,Guernsey,total_age3,1100,4700
288,Ghana,total_age3,94000,1200000
292,Gibraltar,total_age3,1000,2800
304,Greenland,total_age3,1000,5000
270,The Gambia,total_age3,23000,82000
324,Guinea,total_age3,20000,290000
312,Guadeloupe,total_age3,4900,28000
226,Equatorial Guinea,total_age3,12000,29000
300,Greece,total_age3,76000,800000
320,Guatemala,total_age3,50000,1100000
316,Guam,total_age3,7000,19000
624,Guinea-Bissau,total_age3,7400,48000
328,Guyana,total_age3,5400,63000
344,Hong Kong,total_age3,180000,960000
340,Honduras,total_age3,26000,640000
191,Croatia,total_age3,17000,290000
332,Haiti,total_age3,17000,430000
348,Hungary,total_age3,27000,720000
360,Indonesia,total_age3,570000,27000000
372,Ireland,total_age3,67000,430000
376,Israel,total_age3,120000,770000
833,Isle Of Man,total_age3,1500,6100
356,India,total_age3,790000,55000000
368,Iraq,total_age3,190000,3300000
352,Iceland,total_age3,4900,31000
380,Italy,total_age3,440000,4200000
832,Jersey,total_age3,4100,8200
388,Jamaica,total_age3,13000,200000
400,Jordan,total_age3,170000,810000
392,Japan,total_age3,200000,5800000
404,Kenya,total_age3,99000,1600000
417,Kyrgyzstan,total_age3,12000,400000
116,Cambodia,total_age3,60000,1700000
296,Kiribati,total_age3,1000,7500
174,Comoros,total_age3,5200,42000
659,Saint Kitts and Nevis,total_age3,1400,5600
410,South Korea,total_age3,210000,3200000
414,Kuwait,total_age3,490000,920000
136,Cayman Islands,total_age3,4700,8700
398,Kazakhstan,total_age3,34000,1700000
418,Laos,total_age3,39000,430000
422,Lebanon,total_age3,150000,570000
662,St. Lucia,total_age3,1500,16000
438,Liechtenstein,total_age3,1000,1900
144,Sri Lanka,total_age3,28000,1100000
430,Liberia,total_age3,13000,100000
426,Lesotho,total_age3,9300,99000
440,Lithuania,total_age3,5000,240000
442,Luxembourg,total_age3,17000,53000
428,Latvia,total_age3,3700,160000
434,Libya,total_age3,160000,1000000
504,Morocco,total_age3,220000,3700000
492,Monaco,total_age3,1000,1500
498,Moldova,total_age3,7800,210000
499,Montenegro,total_age3,8000,60000
663,Saint Martin,total_age3,1000,2400
450,Madagascar,total_age3,10000,380000
584,Marshall Islands,total_age3,1000,2800
807,Macedonia,total_age3,11000,160000
466,Mali,total_age3,52000,420000
104,Myanmar,total_age3,110000,3200000
496,Mongolia,total_age3,11000,370000
446,Macau,total_age3,25000,88000
580,Northern Mariana Islands,total_age3,1600,3900
474,Martinique,total_age3,3800,26000
478,Mauritania,total_age3,25000,160000
500,Montserrat,total_age3,1000,1000
470,Malta,total_age3,14000,59000
480,Mauritius,total_age3,18000,120000
462,Maldives,total_age3,23000,71000
454,Malawi,total_age3,6400,81000
484,Mexico,total_age3,530000,14000000
458,Malaysia,total_age3,330000,4000000
508,Mozambique,total_age3,26000,340000
516,Namibia,total_age3,7700,130000
540,New Caledonia,total_age3,5200,24000
562,Niger,total_age3,17000,92000
566,Nigeria,total_age3,260000,4600000
558,Nicaragua,total_age3,23000,510000
528,Netherlands,total_age3,140000,1400000
578,Norway,total_age3,63000,440000
524,Nepal,total_age3,130000,2900000
520,Nauru,total_age3,1000,1400
554,New Zealand,total_age3,110000,420000
512,Oman,total_age3,270000,590000
591,Panama,total_age3,50000,370000
604,Peru,total_age3,210000,3500000
258,French Polynesia,total_age3,3100,26000
598,Papua New Guinea,total_age3,7400,140000
608,Philippines,total_age3,370000,11000000
586,Pakistan,total_age3,270000,6200000
616,Poland,total_age3,69000,2700000
630,Puerto Rico,total_age3,17000,230000
275,Palestine,total_age3,64000,390000
620,Portugal,total_age3,79000,810000
585,Palau,total_age3,1100,2200
600,Paraguay,total_age3,30000,600000
634,Qatar,total_age3,460000,660000
638,Réunion,total_age3,12000,78000
642,Romania,total_age3,31000,1500000
688,Serbia,total_age3,49000,500000
643,Russia,total_age3,460000,10000000
646,Rwanda,total_age3,12000,110000
682,Saudi Arabia,total_age3,890000,5200000
90,Solomon Islands,total_age3,1500,18000
690,Seychelles,total_age3,4400,12000
752,Sweden,total_age3,120000,910000
702,Singapore,total_age3,330000,740000
705,Slovenia,total_age3,14000,150000
703,Slovakia,total_age3,14000,420000
694,Sierra Leone,total_age3,11000,130000
674,San Marino,total_age3,1000,1400
686,Senegal,total_age3,68000,650000
706,Somalia,total_age3,46000,350000
740,Suriname,total_age3,7300,50000
728,South Sudan,total_age3,22000,73000
678,Sao Tome and Principe,total_age3,1000,9100
222,El Salvador,total_age3,39000,590000
534,Sint Maarten,total_age3,3100,4800
748,Swaziland,total_age3,6800,49000
796,Turks and Caicos Islands,total_age3,3000,5100
148,Chad,total_age3,9500,79000
768,Togo,total_age3,22000,150000
764,Thailand,total_age3,460000,7700000
762,Tajikistan,total_age3,8300,130000
626,Timor-Leste,total_age3,21000,64000
795,Turkmenistan,total_age3,1000,20000
788,Tunisia,total_age3,90000,1400000
776,Tonga,total_age3,1200,11000
792,Turkey,total_age3,480000,7700000
780,Trinidad and Tobago,total_age3,16000,140000
798,Tuvalu,total_age3,1000,1000
158,Taiwan,total_age3,260000,2400000
834,Tanzania,total_age3,35000,840000
804,Ukraine,total_age3,75000,2800000
800,Uganda,total_age3,44000,520000
840,United States,total_age3,3500000,28000000
858,Uruguay,total_age3,22000,340000
860,Uzbekistan,total_age3,19000,610000
670,Saint Vincent and the Grenadines,total_age3,1000,10000
862,Venezuela,total_age3,68000,1800000
92,British Virgin Islands,total_age3,1900,3400
850,US Virgin Islands,total_age3,1200,3200
704,Vietnam,total_age3,110000,10000000
548,Vanuatu,total_age3,1100,18000
876,Wallis and Futuna,total_age3,1000,1000
882,Samoa,total_age3,2000,21000
983,Kosovo,total_age3,11000,140000
887,Yemen,total_age3,49000,580000
175,Mayotte,total_age3,2500,11000
710,South Africa,total_age3,440000,4200000
894,Zambia,total_age3,21000,310000
716,Zimbabwe,total_age3,8100,180000
20,Andorra,total_age4,2500,6500
784,United Arab Emirates,total_age4,970000,1500000
4,Afghanistan,total_age4,11000,170000
28,Antigua,total_age4,2500,7200
660,Anguilla,total_age4,1000,1400
8,Albania,total_age4,5700,140000
51,Armenia,total_age4,9000,190000
24,Angola,total_age4,30000,220000
32,Argentina,total_age4,200000,3600000
16,American Samoa,total_age4,1100,2800
40,Austria,total_age4,94000,540000
36,Australia,total_age4,430000,1800000
533,Aruba,total_age4,3500,9600
31,Azerbaijan,total_age4,20000,460000
70,Bosnia and Herzegovina,total_age4,12000,190000
52,Barbados,total_age4,2700,21000
50,Bangladesh,total_age4,59000,2300000
56,Belgium,total_age4,120000,800000
854,Burkina Faso,total_age4,13000,170000
100,Bulgaria,total_age4,12000,430000
48,Bahrain,total_age4,95000,200000
108,Burundi,total_age4,3500,45000
204,Benin,total_age4,16000,100000
652,Saint Barthélemy,total_age4,1000,1000
60,Bermuda,total_age4,1600,5100
96,Brunei,total_age4,17000,50000
68,Bolivia,total_age4,28000,660000
535,"Bonaire, Sint Eustatius and Saba",total_age4,1000,2100
76,Brazil,total_age4,160000,16000000
44,The Bahamas,total_age4,4800,27000
64,Bhutan,total_age4,2200,38000
72,Botswana,total_age4,16000,120000
112,Belarus,total_age4,20000,480000
84,Belize,total_age4,3000,24000
124,Canada,total_age4,510000,2600000
180,Democratic Republic of the Congo,total_age4,15000,240000
140,Central African Republic,total_age4,2500,14000
178,Republic of the Congo,total_age4,11000,72000
756,Switzerland,total_age4,140000,580000
384,Côte d'Ivoire,total_age4,61000,540000
184,Cook Islands,total_age4,1000,1100
152,Chile,total_age4,180000,1600000
120,Cameroon,total_age4,22000,360000
156,China,total_age4,72000,340000
170,Colombia,total_age4,230000,3600000
188,Costa Rica,total_age4,48000,420000
132,Cape Verde,total_age4,4400,30000
531,Curaçao,total_age4,3500,12000
196,Cyprus,total_age4,29000,130000
203,Czech Republic,total_age4,44000,670000
276,Germany,total_age4,490000,4500000
262,Djibouti,total_age4,3800,18000
208,Denmark,total_age4,42000,360000
212,Dominica,total_age4,1000,4300
214,Dominican Republic,total_age4,53000,640000
12,Algeria,total_age4,130000,2200000
218,Ecuador,total_age4,79000,1300000
233,Estonia,total_age4,3400,96000
818,Egypt,total_age4,150000,4400000
724,Spain,total_age4,430000,3500000
231,Ethiopia,total_age4,37000,690000
246,Finland,total_age4,25000,370000
242,Fiji,total_age4,5400,63000
238,Falkland Islands,total_age4,1000,1000
583,Federated States of Micronesia,total_age4,1000,3500
234,Faroe Islands,total_age4,1000,3200
250,France,total_age4,480000,4400000
266,Gabon,total_age4,23000,82000
826,United Kingdom,total_age4,640000,5200000
308,Grenada,total_age4,1100,8300
268,Georgia,total_age4,14000,320000
254,French Guiana,total_age4,4200,13000
831,Guernsey,total_age4,1000,4200
288,Ghana,total_age4,40000,580000
292,Gibraltar,total_age4,1000,2600
304,Greenland,total_age4,1000,4000
270,The Gambia,total_age4,9300,38000
324,Guinea,total_age4,9100,130000
312,Guadeloupe,total_age4,4400,23000
226,Equatorial Guinea,total_age4,6400,15000
300,Greece,total_age4,72000,770000
320,Guatemala,total_age4,26000,640000
316,Guam,total_age4,5700,14000
624,Guinea-Bissau,total_age4,3500,24000
328,Guyana,total_age4,3400,42000
344,Hong Kong,total_age4,150000,750000
340,Honduras,total_age4,13000,380000
191,Croatia,total_age4,15000,260000
332,Haiti,total_age4,7300,180000
348,Hungary,total_age4,22000,620000
360,Indonesia,total_age4,210000,13000000
372,Ireland,total_age4,68000,420000
376,Israel,total_age4,98000,600000
833,Isle Of Man,total_age4,1500,5900
356,India,total_age4,360000,30000000
368,Iraq,total_age4,97000,1800000
352,Iceland,total_age4,3900,28000
380,Italy,total_age4,400000,3800000
832,Jersey,total_age4,4100,8400
388,Jamaica,total_age4,9000,140000
400,Jordan,total_age4,100000,560000
392,Japan,total_age4,140000,5400000
404,Kenya,total_age4,37000,700000
417,Kyrgyzstan,total_age4,8000,260000
116,Cambodia,total_age4,27000,700000
296,Kiribati,total_age4,1000,4700
174,Comoros,total_age4,1400,14000
659,Saint Kitts and Nevis,total_age4,1100,4500
410,South Korea,total_age4,150000,2600000
414,Kuwait,total_age4,340000,620000
136,Cayman Islands,total_age4,4600,8000
398,Kazakhstan,total_age4,28000,1300000
418,Laos,total_age4,20000,230000
422,Lebanon,total_age4,84000,370000
662,St. Lucia,total_age4,1200,12000
438,Liechtenstein,total_age4,1000,1800
144,Sri Lanka,total_age4,18000,870000
430,Liberia,total_age4,7200,63000
426,Lesotho,total_age4,2700,29000
440,Lithuania,total_age4,3900,200000
442,Luxembourg,total_age4,16000,48000
428,Latvia,total_age4,3000,130000
434,Libya,total_age4,67000,530000
504,Morocco,total_age4,80000,1500000
492,Monaco,total_age4,1000,1500
498,Moldova,total_age4,6000,170000
499,Montenegro,total_age4,6900,48000
663,Saint Martin,total_age4,1000,2000
450,Madagascar,total_age4,3800,140000
584,Marshall Islands,total_age4,1000,2100
807,Macedonia,total_age4,7900,130000
466,Mali,total_age4,20000,150000
104,Myanmar,total_age4,42000,1400000
496,Mongolia,total_age4,5600,240000
446,Macau,total_age4,19000,59000
580,Northern Mariana Islands,total_age4,1500,3100
474,Martinique,total_age4,3400,22000
478,Mauritania,total_age4,9400,57000
500,Montserrat,total_age4,1000,1000
470,Malta,total_age4,9300,48000
480,Mauritius,total_age4,10000,92000
462,Maldives,total_age4,11000,46000
454,Malawi,total_age4,3700,46000
484,Mexico,total_age4,300000,9300000
458,Malaysia,total_age4,170000,2900000
508,Mozambique,total_age4,14000,180000
516,Namibia,total_age4,5200,74000
540,New Caledonia,total_age4,4800,19000
562,Niger,total_age4,6900,50000
566,Nigeria,total_age4,120000,2400000
558,Nicaragua,total_age4,12000,300000
528,Netherlands,total_age4,120000,1100000
578,Norway,total_age4,61000,390000
524,Nepal,total_age4,39000,690000
520,Nauru,total_age4,1000,1000
554,New Zealand,total_age4,90000,330000
512,Oman,total_age4,150000,310000
591,Panama,total_age4,38000,280000
604,Peru,total_age4,120000,2400000
258,French Polynesia,total_age4,2600,22000
598,Papua New Guinea,total_age4,4400,56000
608,Philippines,total_age4,150000,6800000
586,Pakistan,total_age4,110000,2900000
616,Poland,total_age4,55000,2400000
630,Puerto Rico,total_age4,14000,200000
275,Palestine,total_age4,34000,230000
620,Portugal,total_age4,70000,780000
585,Palau,total_age4,1000,1800
600,Paraguay,total_age4,20000,420000
634,Qatar,total_age4,280000,410000
638,Réunion,total_age4,10000,63000
642,Romania,total_age4,22000,1200000
688,Serbia,total_age4,45000,440000
643,Russia,total_age4,370000,8400000
646,Rwanda,total_age4,6000,49000
682,Saudi Arabia,total_age4,530000,2700000
90,Solomon Islands,total_age4,1000,8100
690,Seychelles,total_age4,3100,8700
752,Sweden,total_age4,110000,760000
702,Singapore,total_age4,260000,580000
705,Slovenia,total_age4,13000,140000
703,Slovakia,total_age4,11000,350000
694,Sierra Leone,total_age4,5100,61000
674,San Marino,total_age4,1000,1400
686,Senegal,total_age4,26000,290000
706,Somalia,total_age4,14000,82000
740,Suriname,total_age4,5400,40000
728,South Sudan,total_age4,12000,37000
678,Sao Tome and Principe,total_age4,1000,5700
222,El Salvador,total_age4,19000,350000
534,Sint Maarten,total_age4,3000,4300
748,Swaziland,total_age4,3400,23000
796,Turks and Caicos Islands,total_age4,2800,4300
148,Chad,total_age4,4000,33000
768,Togo,total_age4,11000,73000
764,Thailand,total_age4,210000,5300000
762,Tajikistan,total_age4,4600,79000
626,Timor-Leste,total_age4,8000,23000
795,Turkmenistan,total_age4,1000,12000
788,Tunisia,total_age4,41000,740000
776,Tonga,total_age4,1000,6400
792,Turkey,total_age4,300000,6300000
780,Trinidad and Tobago,total_age4,12000,120000
798,Tuvalu,total_age4,1000,1000
158,Taiwan,total_age4,200000,2300000
834,Tanzania,total_age4,16000,370000
804,Ukraine,total_age4,62000,2400000
800,Uganda,total_age4,19000,200000
840,United States,total_age4,3300000,23000000
858,Uruguay,total_age4,16000,260000
860,Uzbekistan,total_age4,14000,410000
670,Saint Vincent and the Grenadines,total_age4,1000,7800
862,Venezuela,total_age4,46000,1300000
92,British Virgin Islands,total_age4,1900,3200
850,US Virgin Islands,total_age4,1100,2900
704,Vietnam,total_age4,63000,7500000
548,Vanuatu,total_age4,1000,7500
876,Wallis and Futuna,total_age4,1000,1000
882,Samoa,total_age4,1100,11000
983,Kosovo,total_age4,7000,100000
887,Yemen,total_age4,16000,230000
175,Mayotte,total_age4,1600,6900
710,South Africa,total_age4,260000,2200000
894,Zambia,total_age4,11000,170000
716,Zimbabwe,total_age4,4900,130000
20,Andorra,total_age5,2600,7100
784,United Arab Emirates,total_age5,610000,920000
4,Afghanistan,total_age5,7100,110000
28,Antigua,total_age5,2400,6400
660,Anguilla,total_age5,1000,1100
8,Albania,total_age5,3900,110000
51,Armenia,total_age5,6600,150000
24,Angola,total_age5,24000,150000
32,Argentina,total_age5,160000,3400000
16,American Samoa,total_age5,1100,2800
40,Austria,total_age5,82000,450000
36,Australia,total_age5,310000,1500000
533,Aruba,total_age5,3700,9400
31,Azerbaijan,total_age5,15000,290000
70,Bosnia and Herzegovina,total_age5,10000,170000
52,Barbados,total_age5,2700,19000
50,Bangladesh,total_age5,36000,1500000
56,Belgium,total_age5,110000,750000
854,Burkina Faso,total_age5,8300,110000
100,Bulgaria,total_age5,12000,440000
48,Bahrain,total_age5,69000,140000
108,Burundi,total_age5,2400,29000
204,Benin,total_age5,11000,68000
652,Saint Barthélemy,total_age5,1000,1000
60,Bermuda,total_age5,1600,4800
96,Brunei,total_age5,15000,40000
68,Bolivia,total_age5,21000,530000
535,"Bonaire, Sint Eustatius and Saba",total_age5,1000,1800
76,Brazil,total_age5,130000,14000000
44,The Bahamas,total_age5,4200,23000
64,Bhutan,total_age5,1500,25000
72,Botswana,total_age5,12000,88000
112,Belarus,total_age5,16000,310000
84,Belize,total_age5,2400,18000
124,Canada,total_age5,460000,2400000
180,Democratic Republic of the Congo,total_age5,11000,190000
140,Central African Republic,total_age5,1900,9900
178,Republic of the Congo,total_age5,7700,55000
756,Switzerland,total_age5,130000,520000
384,Côte d'Ivoire,total_age5,44000,400000
184,Cook Islands,total_age5,1000,1000
152,Chile,total_age5,130000,1300000
120,Cameroon,total_age5,15000,250000
156,China,total_age5,36000,150000
170,Colombia,total_age5,160000,2900000
188,Costa Rica,total_age5,38000,330000
132,Cape Verde,total_age5,3100,21000
531,Curaçao,total_age5,3500,11000
196,Cyprus,total_age5,25000,110000
203,Czech Republic,total_age5,37000,680000
276,Germany,total_age5,440000,3800000
262,Djibouti,total_age5,2500,12000
208,Denmark,total_age5,34000,380000
212,Dominica,total_age5,1000,3100
214,Dominican Republic,total_age5,35000,530000
12,Algeria,total_age5,89000,1600000
218,Ecuador,total_age5,60000,1000000
233,Estonia,total_age5,2500,82000
818,Egypt,total_age5,100000,3300000
724,Spain,total_age5,420000,3700000
231,Ethiopia,total_age5,20000,390000
246,Finland,total_age5,19000,340000
242,Fiji,total_age5,4200,49000
238,Falkland Islands,total_age5,1000,1000
583,Federated States of Micronesia,total_age5,1000,2900
234,Faroe Islands,total_age5,1000,3200
250,France,total_age5,410000,3900000
266,Gabon,total_age5,18000,62000
826,United Kingdom,total_age5,540000,4400000
308,Grenada,total_age5,1000,5800
268,Georgia,total_age5,11000,260000
254,French Guiana,total_age5,3500,10000
831,Guernsey,total_age5,1000,4100
288,Ghana,total_age5,24000,370000
292,Gibraltar,total_age5,1000,2600
304,Greenland,total_age5,1000,3200
270,The Gambia,total_age5,6200,25000
324,Guinea,total_age5,6000,79000
312,Guadeloupe,total_age5,4100,21000
226,Equatorial Guinea,total_age5,3800,8300
300,Greece,total_age5,68000,780000
320,Guatemala,total_age5,19000,490000
316,Guam,total_age5,5300,12000
624,Guinea-Bissau,total_age5,2200,17000
328,Guyana,total_age5,2700,37000
344,Hong Kong,total_age5,130000,660000
340,Honduras,total_age5,9700,290000
191,Croatia,total_age5,15000,230000
332,Haiti,total_age5,5000,120000
348,Hungary,total_age5,22000,730000
360,Indonesia,total_age5,130000,9500000
372,Ireland,total_age5,56000,390000
376,Israel,total_age5,86000,530000
833,Isle Of Man,total_age5,1500,5900
356,India,total_age5,220000,20000000
368,Iraq,total_age5,69000,1400000
352,Iceland,total_age5,3300,26000
380,Italy,total_age5,390000,4000000
832,Jersey,total_age5,3700,7900
388,Jamaica,total_age5,7300,110000
400,Jordan,total_age5,74000,440000
392,Japan,total_age5,120000,5000000
404,Kenya,total_age5,26000,510000
417,Kyrgyzstan,total_age5,5700,170000
116,Cambodia,total_age5,16000,360000
296,Kiribati,total_age5,1000,3000
174,Comoros,total_age5,1000,8900
659,Saint Kitts and Nevis,total_age5,1000,3700
410,South Korea,total_age5,100000,1900000
414,Kuwait,total_age5,260000,420000
136,Cayman Islands,total_age5,4300,7100
398,Kazakhstan,total_age5,23000,930000
418,Laos,total_age5,13000,150000
422,Lebanon,total_age5,55000,290000
662,St. Lucia,total_age5,1000,10000
438,Liechtenstein,total_age5,1000,1800
144,Sri Lanka,total_age5,13000,630000
430,Liberia,total_age5,4900,49000
426,Lesotho,total_age5,1900,22000
440,Lithuania,total_age5,3000,170000
442,Luxembourg,total_age5,15000,44000
428,Latvia,total_age5,2500,110000
434,Libya,total_age5,47000,450000
504,Morocco,total_age5,57000,1100000
492,Monaco,total_age5,1000,1400
498,Moldova,total_age5,4900,140000
499,Montenegro,total_age5,6200,39000
663,Saint Martin,total_age5,1000,1800
450,Madagascar,total_age5,2900,110000
584,Marshall Islands,total_age5,1000,1800
807,Macedonia,total_age5,6900,120000
466,Mali,total_age5,12000,100000
104,Myanmar,total_age5,26000,920000
496,Mongolia,total_age5,3800,190000
446,Macau,total_age5,15000,41000
580,Northern Mariana Islands,total_age5,1700,3400
474,Martinique,total_age5,3100,20000
478,Mauritania,total_age5,6200,37000
500,Montserrat,total_age5,1000,1000
470,Malta,total_age5,6500,42000
480,Mauritius,total_age5,7200,84000
462,Maldives,total_age5,6300,28000
454,Malawi,total_age5,2600,33000
484,Mexico,total_age5,240000,7700000
458,Malaysia,total_age5,110000,2200000
508,Mozambique,total_age5,10000,110000
516,Namibia,total_age5,4100,56000
540,New Caledonia,total_age5,4100,17000
562,Niger,total_age5,4400,37000
566,Nigeria,total_age5,82000,1700000
558,Nicaragua,total_age5,8700,220000
528,Netherlands,total_age5,100000,1000000
578,Norway,total_age5,51000,380000
524,Nepal,total_age5,25000,460000
520,Nauru,total_age5,1000,1000
554,New Zealand,total_age5,68000,290000
512,Oman,total_age5,98000,180000
591,Panama,total_age5,29000,220000
604,Peru,total_age5,89000,2000000
258,French Polynesia,total_age5,2400,18000
598,Papua New Guinea,total_age5,4000,42000
608,Philippines,total_age5,110000,5300000
586,Pakistan,total_age5,65000,1900000
616,Poland,total_age5,42000,2100000
630,Puerto Rico,total_age5,15000,200000
275,Palestine,total_age5,26000,180000
620,Portugal,total_age5,68000,850000
585,Palau,total_age5,1000,1800
600,Paraguay,total_age5,17000,300000
634,Qatar,total_age5,190000,270000
638,Réunion,total_age5,9200,56000
642,Romania,total_age5,20000,1200000
688,Serbia,total_age5,44000,410000
643,Russia,total_age5,290000,5500000
646,Rwanda,total_age5,3800,28000
682,Saudi Arabia,total_age5,340000,1600000
90,Solomon Islands,total_age5,1000,6300
690,Seychelles,total_age5,2300,7100
752,Sweden,total_age5,91000,710000
702,Singapore,total_age5,190000,470000
705,Slovenia,total_age5,12000,130000
703,Slovakia,total_age5,9900,330000
694,Sierra Leone,total_age5,3500,42000
674,San Marino,total_age5,1000,1700
686,Senegal,total_age5,17000,210000
706,Somalia,total_age5,9300,53000
740,Suriname,total_age5,4400,32000
728,South Sudan,total_age5,7500,23000
678,Sao Tome and Principe,total_age5,1000,4100
222,El Salvador,total_age5,17000,320000
534,Sint Maarten,total_age5,2900,4100
748,Swaziland,total_age5,2400,16000
796,Turks and Caicos Islands,total_age5,2500,3900
148,Chad,total_age5,2500,21000
768,Togo,total_age5,7900,49000
764,Thailand,total_age5,130000,4400000
762,Tajikistan,total_age5,3100,50000
626,Timor-Leste,total_age5,4400,13000
795,Turkmenistan,total_age5,1000,6900
788,Tunisia,total_age5,30000,580000
776,Tonga,total_age5,1000,5000
792,Turkey,total_age5,220000,5400000
780,Trinidad and Tobago,total_age5,9100,95000
798,Tuvalu,total_age5,1000,1000
158,Taiwan,total_age5,130000,2200000
834,Tanzania,total_age5,12000,280000
804,Ukraine,total_age5,55000,2000000
800,Uganda,total_age5,13000,130000
840,United States,total_age5,3000000,20000000
858,Uruguay,total_age5,14000,260000
860,Uzbekistan,total_age5,9500,250000
670,Saint Vincent and the Grenadines,total_age5,1000,6600
862,Venezuela,total_age5,38000,1200000
92,British Virgin Islands,total_age5,1900,3100
850,US Virgin Islands,total_age5,1100,2700
704,Vietnam,total_age5,42000,5200000
548,Vanuatu,total_age5,1000,6000
876,Wallis and Futuna,total_age5,1000,1000
882,Samoa,total_age5,1000,8800
983,Kosovo,total_age5,5100,80000
887,Yemen,total_age5,10000,160000
175,Mayotte,total_age5,1200,6000
710,South Africa,total_age5,160000,1500000
894,Zambia,total_age5,7700,130000
716,Zimbabwe,total_age5,3300,90000
20,Andorra,total_age6,2500,6500
784,United Arab Emirates,total_age6,340000,490000
4,Afghanistan,total_age6,3700,56000
28,Antigua,total_age6,2000,5300
660,Anguilla,total_age6,1000,1000
8,Albania,total_age6,2400,87000
51,Armenia,total_age6,4700,110000
24,Angola,total_age6,15000,88000
32,Argentina,total_age6,120000,2500000
16,American Samoa,total_age6,1000,2400
40,Austria,total_age6,68000,390000
36,Australia,total_age6,230000,1400000
533,Aruba,total_age6,3500,8500
31,Azerbaijan,total_age6,9100,170000
70,Bosnia and Herzegovina,total_age6,8100,130000
52,Barbados,total_age6,2400,17000
50,Bangladesh,total_age6,19000,860000
56,Belgium,total_age6,81000,670000
854,Burkina Faso,total_age6,4200,57000
100,Bulgaria,total_age6,9000,380000
48,Bahrain,total_age6,42000,78000
108,Burundi,total_age6,1400,14000
204,Benin,total_age6,6500,37000
652,Saint Barthélemy,total_age6,1000,1000
60,Bermuda,total_age6,1300,4300
96,Brunei,total_age6,10000,26000
68,Bolivia,total_age6,13000,360000
535,"Bonaire, Sint Eustatius and Saba",total_age6,1000,1600
76,Brazil,total_age6,86000,10000000
44,The Bahamas,total_age6,3300,20000
64,Bhutan,total_age6,1000,14000
72,Botswana,total_age6,7100,50000
112,Belarus,total_age6,12000,190000
84,Belize,total_age6,1800,13000
124,Canada,total_age6,350000,2000000
180,Democratic Republic of the Congo,total_age6,6200,110000
140,Central African Republic,total_age6,1000,6300
178,Republic of the Congo,total_age6,3900,31000
756,Switzerland,total_age6,100000,430000
384,Côte d'Ivoire,total_age6,23000,220000
184,Cook Islands,total_age6,1000,1000
152,Chile,total_age6,89000,1200000
120,Cameroon,total_age6,8200,140000
156,China,total_age6,19000,68000
170,Colombia,total_age6,110000,2100000
188,Costa Rica,total_age6,28000,250000
132,Cape Verde,total_age6,2100,14000
531,Curaçao,total_age6,3200,11000
196,Cyprus,total_age6,19000,80000
203,Czech Republic,total_age6,28000,560000
276,Germany,total_age6,370000,3100000
262,Djibouti,total_age6,1200,6000
208,Denmark,total_age6,27000,390000
212,Dominica,total_age6,1000,2700
214,Dominican Republic,total_age6,21000,380000
12,Algeria,total_age6,47000,900000
218,Ecuador,total_age6,39000,730000
233,Estonia,total_age6,1900,68000
818,Egypt,total_age6,56000,2000000
724,Spain,total_age6,330000,3200000
231,Ethiopia,total_age6,8300,150000
246,Finland,total_age6,14000,270000
242,Fiji,total_age6,2800,34000
238,Falkland Islands,total_age6,1000,1000
583,Federated States of Micronesia,total_age6,1000,2200
234,Faroe Islands,total_age6,1000,3200
250,France,total_age6,320000,3500000
266,Gabon,total_age6,10000,37000
826,United Kingdom,total_age6,380000,3900000
308,Grenada,total_age6,1000,4300
268,Georgia,total_age6,7900,210000
254,French Guiana,total_age6,2700,7800
831,Guernsey,total_age6,1000,4100
288,Ghana,total_age6,13000,200000
292,Gibraltar,total_age6,1000,2300
304,Greenland,total_age6,1000,2700
270,The Gambia,total_age6,3400,14000
324,Guinea,total_age6,3300,40000
312,Guadeloupe,total_age6,3700,21000
226,Equatorial Guinea,total_age6,1700,3700
300,Greece,total_age6,57000,660000
320,Guatemala,total_age6,12000,310000
316,Guam,total_age6,4700,11000
624,Guinea-Bissau,total_age6,1200,9700
328,Guyana,total_age6,2000,30000
344,Hong Kong,total_age6,80000,430000
340,Honduras,total_age6,5900,190000
191,Croatia,total_age6,14000,180000
332,Haiti,total_age6,2800,69000
348,Hungary,total_age6,19000,620000
360,Indonesia,total_age6,63000,5900000
372,Ireland,total_age6,38000,310000
376,Israel,total_age6,70000,430000
833,Isle Of Man,total_age6,1500,5800
356,India,total_age6,130000,12000000
368,Iraq,total_age6,37000,910000
352,Iceland,total_age6,2500,24000
380,Italy,total_age6,320000,4000000
832,Jersey,total_age6,3400,7300
388,Jamaica,total_age6,5700,89000
400,Jordan,total_age6,49000,320000
392,Japan,total_age6,98000,4300000
404,Kenya,total_age6,15000,290000
417,Kyrgyzstan,total_age6,3800,120000
116,Cambodia,total_age6,9100,180000
296,Kiribati,total_age6,1000,1800
174,Comoros,total_age6,1000,6000
659,Saint Kitts and Nevis,total_age6,1000,2700
